topic-id,proportion,eff-no-words
5,0.151705,732.586332
8,0.151694,760.934261
10,0.141427,606.018408
4,0.121225,948.635448
1,0.114790,544.401594
6,0.100662,678.085866
9,0.073360,431.822416
7,0.059653,412.168718
3,0.054567,417.454120
2,0.030917,152.474010
